B25071_001E,tract,TRACTCE,nbhd_name
29.0,003701,003701,"City Park"
26.8,003702,003702,"Congress Park"
25.5,004304,004304,Montclair
33.4,001901,001901,"Lincoln Park"
-666666666.0,001902,001902,Auraria
28.5,000600,000600,"Jefferson Park"
33.5,000800,000800,"Sun Valley"
26.4,001702,001702,CBD
28.7,001800,001800,"Lincoln Park"
29.2,002703,002703,"Capitol Hill"
27.7,002601,002601,"North Capitol Hill"
25.1,002602,002602,"North Capitol Hill"
29.3,002701,002701,"Capitol Hill"
23.6,003201,003201,"Cheesman Park"
28.3,004201,004201,"South Park Hill"
28.0,004202,004202,"South Park Hill"
24.4,004306,004306,"Lowry Field"
41.6,004404,004404,"East Colfax"
28.8,004405,004405,"Lowry Field"
26.3,003101,003101,"City Park West"
28.9,000502,000502,"Sloan Lake"
34.1,002402,002402,"Five Points"
34.4,003603,003603,Skyland
36.1,000904,000904,"Villa Park"
37.0,000905,000905,"Villa Park"
24.4,002000,002000,"Civic Center"
28.6,003202,003202,"Cheesman Park"
31.8,004302,004302,Hale
22.9,003300,003300,"Congress Park"
48.1,004103,004103,"North Park Hill"
27.9,004301,004301,Hale
35.3,004104,004104,"North Park Hill"
32.9,000701,000701,"West Colfax"
28.0,003102,003102,"City Park West"
29.2,002403,002403,"Five Points"
40.8,000702,000702,"West Colfax"
27.6,002702,002702,"Capitol Hill"
25.7,003703,003703,"Congress Park"
28.8,004403,004403,"East Colfax"
24.8,001701,001701,"Union Station"
28.6,000501,000501,"Sloan Lake"
25.0,001600,001600,"Five Points"
22.9,002300,002300,Whittier
25.7,004106,004106,Stapleton
29.5,004107,004107,Stapleton
