"NAME","B25064_001E","state","county","tract"
"Census Tract 1.02 Denver County Colorado","2193","08","031","000102"
"Census Tract 2.01 Denver County Colorado","1181","08","031","000201"
"Census Tract 2.02 Denver County Colorado","1276","08","031","000202"
"Census Tract 3.01 Denver County Colorado","1746","08","031","000301"
"Census Tract 3.02 Denver County Colorado","1767","08","031","000302"
"Census Tract 3.03 Denver County Colorado","1867","08","031","000303"
"Census Tract 4.01 Denver County Colorado","1434","08","031","000401"
"Census Tract 4.03 Denver County Colorado","1898","08","031","000403"
"Census Tract 4.04 Denver County Colorado","2210","08","031","000404"
"Census Tract 5.01 Denver County Colorado","2059","08","031","000501"
"Census Tract 5.03 Denver County Colorado","596","08","031","000503"
"Census Tract 5.04 Denver County Colorado","1640","08","031","000504"
"Census Tract 6 Denver County Colorado","1582","08","031","000600"
"Census Tract 7.03 Denver County Colorado","1480","08","031","000703"
"Census Tract 7.04 Denver County Colorado","1699","08","031","000704"
"Census Tract 7.05 Denver County Colorado","1289","08","031","000705"
"Census Tract 7.06 Denver County Colorado","1714","08","031","000706"
"Census Tract 8 Denver County Colorado","272","08","031","000800"
"Census Tract 9.02 Denver County Colorado","1752","08","031","000902"
"Census Tract 9.03 Denver County Colorado","1551","08","031","000903"
"Census Tract 9.04 Denver County Colorado","1256","08","031","000904"
"Census Tract 9.05 Denver County Colorado","1841","08","031","000905"
"Census Tract 10 Denver County Colorado","-666666666","08","031","001000"
"Census Tract 11.01 Denver County Colorado","1745","08","031","001101"
"Census Tract 11.02 Denver County Colorado","2307","08","031","001102"
"Census Tract 13.01 Denver County Colorado","1316","08","031","001301"
"Census Tract 13.02 Denver County Colorado","1488","08","031","001302"
"Census Tract 14.01 Denver County Colorado","785","08","031","001401"
"Census Tract 14.02 Denver County Colorado","1617","08","031","001402"
"Census Tract 14.03 Denver County Colorado","1953","08","031","001403"
"Census Tract 15 Denver County Colorado","1505","08","031","001500"
"Census Tract 16.01 Denver County Colorado","2374","08","031","001601"
"Census Tract 16.02 Denver County Colorado","1923","08","031","001602"
"Census Tract 16.03 Denver County Colorado","1812","08","031","001603"
"Census Tract 17.03 Denver County Colorado","2430","08","031","001703"
"Census Tract 17.04 Denver County Colorado","1434","08","031","001704"
"Census Tract 17.05 Denver County Colorado","2426","08","031","001705"
"Census Tract 17.06 Denver County Colorado","1793","08","031","001706"
"Census Tract 17.07 Denver County Colorado","1810","08","031","001707"
"Census Tract 18 Denver County Colorado","1392","08","031","001800"
"Census Tract 19.01 Denver County Colorado","1519","08","031","001901"
"Census Tract 20 Denver County Colorado","2248","08","031","002000"
"Census Tract 21.01 Denver County Colorado","1454","08","031","002101"
"Census Tract 21.02 Denver County Colorado","1817","08","031","002102"
"Census Tract 23 Denver County Colorado","992","08","031","002300"
"Census Tract 24.02 Denver County Colorado","1154","08","031","002402"
"Census Tract 24.04 Denver County Colorado","-666666666","08","031","002404"
"Census Tract 24.05 Denver County Colorado","1671","08","031","002405"
"Census Tract 26.02 Denver County Colorado","1836","08","031","002602"
"Census Tract 26.03 Denver County Colorado","1918","08","031","002603"
"Census Tract 26.04 Denver County Colorado","1147","08","031","002604"
"Census Tract 27.04 Denver County Colorado","1201","08","031","002704"
"Census Tract 27.05 Denver County Colorado","1479","08","031","002705"
