"NAME","B15003_022E","B15002_001E","state","county","tract"
"Census Tract 41.02 Denver County Colorado","601","3175","08","031","004102"
"Census Tract 41.03 Denver County Colorado","1632","4367","08","031","004103"
"Census Tract 41.04 Denver County Colorado","1287","3783","08","031","004104"
"Census Tract 41.08 Denver County Colorado","1715","5106","08","031","004108"
"Census Tract 41.09 Denver County Colorado","698","1968","08","031","004109"
"Census Tract 41.10 Denver County Colorado","742","3567","08","031","004110"
"Census Tract 41.11 Denver County Colorado","1624","4418","08","031","004111"
"Census Tract 41.12 Denver County Colorado","1427","4263","08","031","004112"
"Census Tract 41.13 Denver County Colorado","433","1388","08","031","004113"
"Census Tract 42.01 Denver County Colorado","1002","3261","08","031","004201"
"Census Tract 42.02 Denver County Colorado","1345","3163","08","031","004202"
"Census Tract 43.02 Denver County Colorado","745","2120","08","031","004302"
"Census Tract 43.03 Denver County Colorado","1011","2677","08","031","004303"
"Census Tract 43.06 Denver County Colorado","1436","3868","08","031","004306"
"Census Tract 43.07 Denver County Colorado","444","1642","08","031","004307"
"Census Tract 43.08 Denver County Colorado","1205","2980","08","031","004308"
"Census Tract 43.09 Denver County Colorado","1237","3248","08","031","004309"
"Census Tract 43.10 Denver County Colorado","682","1664","08","031","004310"
"Census Tract 44.03 Denver County Colorado","856","3041","08","031","004403"
"Census Tract 44.04 Denver County Colorado","718","4105","08","031","004404"
"Census Tract 44.06 Denver County Colorado","1180","3052","08","031","004406"
"Census Tract 44.07 Denver County Colorado","1482","4372","08","031","004407"
"Census Tract 45.03 Denver County Colorado","240","2717","08","031","004503"
"Census Tract 45.04 Denver County Colorado","66","2294","08","031","004504"
"Census Tract 45.05 Denver County Colorado","158","2577","08","031","004505"
"Census Tract 45.06 Denver County Colorado","73","1786","08","031","004506"
"Census Tract 46.01 Denver County Colorado","732","3747","08","031","004601"
"Census Tract 46.02 Denver County Colorado","573","4226","08","031","004602"
"Census Tract 46.03 Denver County Colorado","676","3623","08","031","004603"
"Census Tract 47 Denver County Colorado","963","4812","08","031","004700"
"Census Tract 48.01 Denver County Colorado","676","2334","08","031","004801"
"Census Tract 50.01 Denver County Colorado","792","1939","08","031","005001"
"Census Tract 50.03 Denver County Colorado","752","1945","08","031","005003"
"Census Tract 50.04 Denver County Colorado","1031","3604","08","031","005004"
"Census Tract 51.02 Denver County Colorado","1108","2771","08","031","005102"
"Census Tract 51.04 Denver County Colorado","826","2935","08","031","005104"
"Census Tract 52 Denver County Colorado","1237","2725","08","031","005200"
"Census Tract 53 Denver County Colorado","403","1341","08","031","005300"
"Census Tract 55.02 Denver County Colorado","183","1450","08","031","005502"
"Census Tract 55.03 Denver County Colorado","975","3449","08","031","005503"
"Census Tract 67.01 Denver County Colorado","1774","3497","08","031","006701"
"Census Tract 68.04 Denver County Colorado","1281","2821","08","031","006804"
"Census Tract 68.10 Denver County Colorado","1411","4500","08","031","006810"
"Census Tract 68.12 Denver County Colorado","1151","3346","08","031","006812"
"Census Tract 68.13 Denver County Colorado","943","3130","08","031","006813"
"Census Tract 68.14 Denver County Colorado","902","2762","08","031","006814"
"Census Tract 68.15 Denver County Colorado","931","1689","08","031","006815"
"Census Tract 68.16 Denver County Colorado","1107","3860","08","031","006816"
"Census Tract 68.17 Denver County Colorado","645","1455","08","031","006817"
"Census Tract 68.18 Denver County Colorado","1502","3662","08","031","006818"
"Census Tract 69.02 Denver County Colorado","475","2383","08","031","006902"
"Census Tract 69.03 Denver County Colorado","449","1642","08","031","006903"
"Census Tract 70.06 Denver County Colorado","732","2598","08","031","007006"
"Census Tract 70.13 Denver County Colorado","1199","3144","08","031","007013"
"Census Tract 70.37 Denver County Colorado","638","2833","08","031","007037"
"Census Tract 70.88 Denver County Colorado","1216","3449","08","031","007088"
"Census Tract 70.90 Denver County Colorado","361","1357","08","031","007090"
"Census Tract 70.91 Denver County Colorado","962","3388","08","031","007091"
"Census Tract 83.04 Denver County Colorado","251","2305","08","031","008304"
"Census Tract 83.05 Denver County Colorado","108","2699","08","031","008305"
"Census Tract 83.06 Denver County Colorado","402","3838","08","031","008306"
"Census Tract 83.12 Denver County Colorado","713","4916","08","031","008312"
"Census Tract 83.86 Denver County Colorado","212","2477","08","031","008386"
"Census Tract 83.87 Denver County Colorado","448","4417","08","031","008387"
"Census Tract 83.88 Denver County Colorado","1671","8885","08","031","008388"
"Census Tract 83.89 Denver County Colorado","2087","9141","08","031","008389"
"Census Tract 83.90 Denver County Colorado","1086","5978","08","031","008390"
"Census Tract 83.91 Denver County Colorado","843","4563","08","031","008391"
"Census Tract 119.02 Denver County Colorado","1250","4384","08","031","011902"
"Census Tract 119.03 Denver County Colorado","427","1743","08","031","011903"
"Census Tract 120.01 Denver County Colorado","637","1865","08","031","012001"
"Census Tract 120.10 Denver County Colorado","1620","4014","08","031","012010"
"Census Tract 120.15 Denver County Colorado","824","2840","08","031","012015"
"Census Tract 120.16 Denver County Colorado","338","2096","08","031","012016"
"Census Tract 153 Denver County Colorado","1225","3148","08","031","015300"
"Census Tract 154 Denver County Colorado","897","2930","08","031","015400"
"Census Tract 155 Denver County Colorado","959","2672","08","031","015500"
"Census Tract 156 Denver County Colorado","608","4534","08","031","015600"
"Census Tract 157 Denver County Colorado","848","4009","08","031","015700"
"Census Tract 158 Denver County Colorado","355","1726","08","031","015800"
"Census Tract 9800.01 Denver County Colorado","0","0","08","031","980001"
"Census Tract 9801 Denver County Colorado","0","0","08","031","980100"
"Census Tract 9802 Denver County Colorado","65","137","08","031","980200"
