B19013_001E,tract,TRACTCE,nbhd_name
154625,000501,000501,"Sloan Lake"
87292,000503,000503,"Sloan Lake"
131486,000504,000504,"Sloan Lake"
110841,000600,000600,"Jefferson Park"
66075,000703,000703,"West Colfax"
113542,000704,000704,"West Colfax"
104565,000705,000705,"West Colfax"
89861,000706,000706,"West Colfax"
26250,000800,000800,"Sun Valley"
43581,000904,000904,"Villa Park"
71906,000905,000905,"Villa Park"
90833,001601,001601,"Five Points"
106875,001602,001602,"Five Points"
68874,001603,001603,"Five Points"
111042,001703,001703,"Union Station"
88083,001704,001704,"Union Station"
110667,001705,001705,"Union Station"
103089,001706,001706,CBD
122583,001707,001707,CBD
59695,001800,001800,"Lincoln Park"
67690,001901,001901,"Lincoln Park"
110725,002000,002000,"Civic Center"
121000,002300,002300,Whittier
77303,002402,002402,"Five Points"
62569,002404,002404,"Five Points"
93480,002405,002405,"Five Points"
96896,002602,002602,"North Capitol Hill"
98350,002603,002603,"North Capitol Hill"
28780,002604,002604,"North Capitol Hill"
44184,002704,002704,"Capitol Hill"
68681,002705,002705,"Capitol Hill"
89222,002706,002706,"Capitol Hill"
91333,002707,002707,"Capitol Hill"
65781,002708,002708,"Capitol Hill"
67592,002709,002709,"Capitol Hill"
107688,003101,003101,"City Park West"
56184,003102,003102,"City Park West"
70795,003202,003202,"Cheesman Park"
67619,003204,003204,"Cheesman Park"
82926,003205,003205,"Cheesman Park"
145481,003300,003300,"Congress Park"
100694,003603,003603,Skyland
94402,003701,003701,"City Park"
71063,003702,003702,"Congress Park"
77174,003703,003703,"Congress Park"
156154,004103,004103,"North Park Hill"
122260,004104,004104,"North Park Hill"
187059,004108,004108,Stapleton
190243,004109,004109,Stapleton
175547,004110,004110,Stapleton
172422,004111,004111,Stapleton
106438,004112,004112,Stapleton
153100,004113,004113,Stapleton
154943,004201,004201,"South Park Hill"
146429,004202,004202,"South Park Hill"
111875,004302,004302,Hale
114185,004306,004306,"Lowry Field"
60841,004307,004307,Hale
62747,004308,004308,Hale
101535,004309,004309,Montclair
146889,004310,004310,Montclair
81500,004403,004403,"East Colfax"
63966,004404,004404,"East Colfax"
141094,004406,004406,"Lowry Field"
97529,004407,004407,"Lowry Field"
148958,980200,980200,Auraria
