B19013_001E,tract,TRACTCE,nbhd_name
66481,000501,000501,"Sloan Lake"
36719,000502,000502,"Sloan Lake"
23429,000600,000600,"Jefferson Park"
35139,000701,000701,"West Colfax"
30738,000702,000702,"West Colfax"
8352,000800,000800,"Sun Valley"
27075,000904,000904,"Villa Park"
35601,000905,000905,"Villa Park"
53077,001600,001600,"Five Points"
76121,001701,001701,"Union Station"
45047,001702,001702,CBD
26759,001800,001800,"Lincoln Park"
17525,001900,001900,Auraria
17525,001900,001900,"Lincoln Park"
53125,002000,002000,"Civic Center"
42313,002300,002300,Whittier
38684,002402,002402,"Five Points"
34630,002403,002403,"Five Points"
29503,002601,002601,"North Capitol Hill"
45575,002602,002602,"North Capitol Hill"
29608,002701,002701,"Capitol Hill"
40441,002702,002702,"Capitol Hill"
27923,002703,002703,"Capitol Hill"
50469,003101,003101,"City Park West"
26287,003102,003102,"City Park West"
43257,003201,003201,"Cheesman Park"
48026,003202,003202,"Cheesman Park"
91548,003300,003300,"Congress Park"
30037,003603,003603,Skyland
44497,003701,003701,"City Park"
41425,003702,003702,"Congress Park"
48077,003703,003703,"Congress Park"
69811,004103,004103,"North Park Hill"
39639,004104,004104,"North Park Hill"
115230,004105,004105,Stapleton
81341,004201,004201,"South Park Hill"
80081,004202,004202,"South Park Hill"
36629,004301,004301,Hale
72279,004302,004302,Hale
70731,004304,004304,Montclair
71346,004306,004306,"Lowry Field"
41250,004403,004403,"East Colfax"
27086,004404,004404,"East Colfax"
67358,004405,004405,"Lowry Field"
