B25064_001E,tract,TRACTCE,nbhd_name
941,003701,003701,"City Park"
965,003702,003702,"Congress Park"
1481,004304,004304,Montclair
429,001901,001901,"Lincoln Park"
-666666666,001902,001902,Auraria
942,000600,000600,"Jefferson Park"
242,000800,000800,"Sun Valley"
1438,001702,001702,CBD
1218,001800,001800,"Lincoln Park"
982,002703,002703,"Capitol Hill"
1034,002601,002601,"North Capitol Hill"
1395,002602,002602,"North Capitol Hill"
907,002701,002701,"Capitol Hill"
1117,003201,003201,"Cheesman Park"
1007,004201,004201,"South Park Hill"
1023,004202,004202,"South Park Hill"
1648,004306,004306,"Lowry Field"
895,004404,004404,"East Colfax"
1375,004405,004405,"Lowry Field"
848,003101,003101,"City Park West"
627,000502,000502,"Sloan Lake"
903,002402,002402,"Five Points"
1111,003603,003603,Skyland
866,000904,000904,"Villa Park"
1168,000905,000905,"Villa Park"
1622,002000,002000,"Civic Center"
1202,003202,003202,"Cheesman Park"
1241,004302,004302,Hale
1734,003300,003300,"Congress Park"
1324,004103,004103,"North Park Hill"
908,004301,004301,Hale
1217,004104,004104,"North Park Hill"
746,000701,000701,"West Colfax"
892,003102,003102,"City Park West"
1025,002403,002403,"Five Points"
799,000702,000702,"West Colfax"
1106,002702,002702,"Capitol Hill"
1020,003703,003703,"Congress Park"
1251,004403,004403,"East Colfax"
1759,001701,001701,"Union Station"
1636,000501,000501,"Sloan Lake"
1750,001600,001600,"Five Points"
1091,002300,002300,Whittier
1826,004106,004106,Stapleton
1547,004107,004107,Stapleton
