"NAME","B15003_022E","B15002_001E","state","county","tract"
"Census Tract 45.03, Denver County, Colorado","63","2460","08","031","004503"
"Census Tract 19.01, Denver County, Colorado","94","1502","08","031","001901"
"Census Tract 19.02, Denver County, Colorado","101","147","08","031","001902"
"Census Tract 41.06, Denver County, Colorado","1835","7059","08","031","004106"
"Census Tract 41.07, Denver County, Colorado","869","2532","08","031","004107"
"Census Tract 45.04, Denver County, Colorado","81","1836","08","031","004504"
"Census Tract 45.05, Denver County, Colorado","34","2321","08","031","004505"
"Census Tract 45.06, Denver County, Colorado","22","1548","08","031","004506"
"Census Tract 120.10, Denver County, Colorado","989","3527","08","031","012010"
"Census Tract 35, Denver County, Colorado","308","3704","08","031","003500"
"Census Tract 3.02, Denver County, Colorado","1060","3210","08","031","000302"
"Census Tract 30.04, Denver County, Colorado","1215","3230","08","031","003004"
"Census Tract 31.01, Denver County, Colorado","406","1078","08","031","003101"
"Census Tract 33, Denver County, Colorado","992","2384","08","031","003300"
"Census Tract 41.03, Denver County, Colorado","1296","3785","08","031","004103"
"Census Tract 120.14, Denver County, Colorado","1182","4415","08","031","012014"
"Census Tract 29.01, Denver County, Colorado","800","2291","08","031","002901"
"Census Tract 30.01, Denver County, Colorado","1878","4626","08","031","003001"
"Census Tract 30.03, Denver County, Colorado","315","1264","08","031","003003"
"Census Tract 37.03, Denver County, Colorado","722","2005","08","031","003703"
"Census Tract 44.03, Denver County, Colorado","403","2591","08","031","004403"
"Census Tract 51.04, Denver County, Colorado","436","1978","08","031","005104"
"Census Tract 52, Denver County, Colorado","829","2391","08","031","005200"
"Census Tract 68.12, Denver County, Colorado","744","2328","08","031","006812"
"Census Tract 83.06, Denver County, Colorado","238","3440","08","031","008306"
"Census Tract 119.03, Denver County, Colorado","227","1560","08","031","011903"
"Census Tract 3.01, Denver County, Colorado","1200","3887","08","031","000301"
"Census Tract 10, Denver County, Colorado","105","1922","08","031","001000"
"Census Tract 14.03, Denver County, Colorado","241","1646","08","031","001403"
"Census Tract 15, Denver County, Colorado","92","2056","08","031","001500"
"Census Tract 17.01, Denver County, Colorado","1556","3943","08","031","001701"
"Census Tract 29.02, Denver County, Colorado","1326","3181","08","031","002902"
