B25064_001E,tract,TRACTCE,nbhd_name
866,000501,000501,"Sloan Lake"
517,000502,000502,"Sloan Lake"
639,000600,000600,"Jefferson Park"
672,000701,000701,"West Colfax"
736,000702,000702,"West Colfax"
216,000800,000800,"Sun Valley"
595,000904,000904,"Villa Park"
973,000905,000905,"Villa Park"
1181,001600,001600,"Five Points"
1068,001701,001701,"Union Station"
895,001702,001702,CBD
921,001800,001800,"Lincoln Park"
288,001900,001900,Auraria
288,001900,001900,"Lincoln Park"
886,002000,002000,"Civic Center"
783,002300,002300,Whittier
478,002402,002402,"Five Points"
756,002403,002403,"Five Points"
605,002601,002601,"North Capitol Hill"
865,002602,002602,"North Capitol Hill"
606,002701,002701,"Capitol Hill"
743,002702,002702,"Capitol Hill"
593,002703,002703,"Capitol Hill"
577,003101,003101,"City Park West"
470,003102,003102,"City Park West"
608,003201,003201,"Cheesman Park"
764,003202,003202,"Cheesman Park"
1284,003300,003300,"Congress Park"
716,003603,003603,Skyland
661,003701,003701,"City Park"
703,003702,003702,"Congress Park"
682,003703,003703,"Congress Park"
1199,004103,004103,"North Park Hill"
879,004104,004104,"North Park Hill"
1286,004105,004105,Stapleton
908,004201,004201,"South Park Hill"
1181,004202,004202,"South Park Hill"
637,004301,004301,Hale
1257,004302,004302,Hale
1061,004304,004304,Montclair
1051,004306,004306,"Lowry Field"
805,004403,004403,"East Colfax"
714,004404,004404,"East Colfax"
945,004405,004405,"Lowry Field"
