"NAME","B19013_001E","state","county","tract"
"Census Tract 1.02 Denver County Colorado","140064","08","031","000102"
"Census Tract 2.01 Denver County Colorado","76875","08","031","000201"
"Census Tract 2.02 Denver County Colorado","81287","08","031","000202"
"Census Tract 3.01 Denver County Colorado","134375","08","031","000301"
"Census Tract 3.02 Denver County Colorado","114158","08","031","000302"
"Census Tract 3.03 Denver County Colorado","89298","08","031","000303"
"Census Tract 4.01 Denver County Colorado","112077","08","031","000401"
"Census Tract 4.03 Denver County Colorado","106250","08","031","000403"
"Census Tract 4.04 Denver County Colorado","133533","08","031","000404"
"Census Tract 5.01 Denver County Colorado","154625","08","031","000501"
"Census Tract 5.03 Denver County Colorado","87292","08","031","000503"
"Census Tract 5.04 Denver County Colorado","131486","08","031","000504"
"Census Tract 6 Denver County Colorado","110841","08","031","000600"
"Census Tract 7.03 Denver County Colorado","66075","08","031","000703"
"Census Tract 7.04 Denver County Colorado","113542","08","031","000704"
"Census Tract 7.05 Denver County Colorado","104565","08","031","000705"
"Census Tract 7.06 Denver County Colorado","89861","08","031","000706"
"Census Tract 8 Denver County Colorado","26250","08","031","000800"
"Census Tract 9.02 Denver County Colorado","60115","08","031","000902"
"Census Tract 9.03 Denver County Colorado","57484","08","031","000903"
"Census Tract 9.04 Denver County Colorado","43581","08","031","000904"
"Census Tract 9.05 Denver County Colorado","71906","08","031","000905"
"Census Tract 10 Denver County Colorado","46314","08","031","001000"
"Census Tract 11.01 Denver County Colorado","82083","08","031","001101"
"Census Tract 11.02 Denver County Colorado","111390","08","031","001102"
"Census Tract 13.01 Denver County Colorado","72159","08","031","001301"
"Census Tract 13.02 Denver County Colorado","67963","08","031","001302"
"Census Tract 14.01 Denver County Colorado","40398","08","031","001401"
"Census Tract 14.02 Denver County Colorado","65772","08","031","001402"
"Census Tract 14.03 Denver County Colorado","84554","08","031","001403"
"Census Tract 15 Denver County Colorado","66304","08","031","001500"
"Census Tract 16.01 Denver County Colorado","90833","08","031","001601"
"Census Tract 16.02 Denver County Colorado","106875","08","031","001602"
"Census Tract 16.03 Denver County Colorado","68874","08","031","001603"
"Census Tract 17.03 Denver County Colorado","111042","08","031","001703"
"Census Tract 17.04 Denver County Colorado","88083","08","031","001704"
"Census Tract 17.05 Denver County Colorado","110667","08","031","001705"
"Census Tract 17.06 Denver County Colorado","103089","08","031","001706"
"Census Tract 17.07 Denver County Colorado","122583","08","031","001707"
"Census Tract 18 Denver County Colorado","59695","08","031","001800"
"Census Tract 19.01 Denver County Colorado","67690","08","031","001901"
"Census Tract 20 Denver County Colorado","110725","08","031","002000"
"Census Tract 21.01 Denver County Colorado","116667","08","031","002101"
"Census Tract 21.02 Denver County Colorado","89561","08","031","002102"
"Census Tract 23 Denver County Colorado","121000","08","031","002300"
