"NAME","B03002_003E","B03002_001E","state","county","tract"
"Census Tract 24.02, Denver County, Colorado","962","1833","08","031","002402"
"Census Tract 36.03, Denver County, Colorado","924","3340","08","031","003603"
"Census Tract 39.02, Denver County, Colorado","3660","4125","08","031","003902"
"Census Tract 40.03, Denver County, Colorado","3314","4473","08","031","004003"
"Census Tract 46.03, Denver County, Colorado","1824","5486","08","031","004603"
"Census Tract 1.02, Denver County, Colorado","2249","3089","08","031","000102"
"Census Tract 3.03, Denver County, Colorado","3673","4627","08","031","000303"
"Census Tract 4.02, Denver County, Colorado","3176","4970","08","031","000402"
"Census Tract 9.04, Denver County, Colorado","1031","5034","08","031","000904"
"Census Tract 9.05, Denver County, Colorado","768","3624","08","031","000905"
"Census Tract 20, Denver County, Colorado","1158","1622","08","031","002000"
"Census Tract 30.02, Denver County, Colorado","2299","2680","08","031","003002"
"Census Tract 68.09, Denver County, Colorado","4768","6784","08","031","006809"
"Census Tract 40.05, Denver County, Colorado","2281","2867","08","031","004005"
"Census Tract 32.02, Denver County, Colorado","2738","3144","08","031","003202"
"Census Tract 34.01, Denver County, Colorado","2165","2273","08","031","003401"
"Census Tract 34.02, Denver County, Colorado","4022","4539","08","031","003402"
"Census Tract 40.06, Denver County, Colorado","3612","4390","08","031","004006"
"Census Tract 28.03, Denver County, Colorado","3608","4114","08","031","002803"
"Census Tract 55.02, Denver County, Colorado","897","1895","08","031","005502"
"Census Tract 70.88, Denver County, Colorado","2524","4448","08","031","007088"
"Census Tract 70.89, Denver County, Colorado","3634","4704","08","031","007089"
"Census Tract 120.01, Denver County, Colorado","1469","2220","08","031","012001"
"Census Tract 32.01, Denver County, Colorado","4434","5210","08","031","003201"
"Census Tract 38, Denver County, Colorado","4751","5276","08","031","003800"
"Census Tract 40.02, Denver County, Colorado","3133","3367","08","031","004002"
"Census Tract 40.04, Denver County, Colorado","1778","2015","08","031","004004"
"Census Tract 42.01, Denver County, Colorado","3654","4786","08","031","004201"
"Census Tract 42.02, Denver County, Colorado","2693","3734","08","031","004202"
"Census Tract 43.06, Denver County, Colorado","4100","4546","08","031","004306"
"Census Tract 44.04, Denver County, Colorado","2122","6606","08","031","004404"
"Census Tract 44.05, Denver County, Colorado","5627","8065","08","031","004405"
"Census Tract 46.02, Denver County, Colorado","1264","7526","08","031","004602"
"Census Tract 48.01, Denver County, Colorado","1549","2774","08","031","004801"
"Census Tract 70.37, Denver County, Colorado","1320","3838","08","031","007037"
"Census Tract 83.12, Denver County, Colorado","572","6652","08","031","008312"
"Census Tract 41.02, Denver County, Colorado","597","3870","08","031","004102"
"Census Tract 43.02, Denver County, Colorado","1956","2502","08","031","004302"
"Census Tract 43.03, Denver County, Colorado","3681","4030","08","031","004303"
"Census Tract 47, Denver County, Colorado","1627","6407","08","031","004700"
"Census Tract 51.02, Denver County, Colorado","2674","3319","08","031","005102"
"Census Tract 68.13, Denver County, Colorado","2645","4075","08","031","006813"
"Census Tract 83.91, Denver County, Colorado","1327","8247","08","031","008391"
"Census Tract 153, Denver County, Colorado","2467","3506","08","031","015300"
"Census Tract 155, Denver County, Colorado","2055","3581","08","031","015500"
"Census Tract 156, Denver County, Colorado","1275","6210","08","031","015600"
"Census Tract 157, Denver County, Colorado","2079","6701","08","031","015700"
"Census Tract 9800, Denver County, Colorado","360","1318","08","031","980000"
"Census Tract 9801, Denver County, Colorado","0","0","08","031","980100"
"Census Tract 154, Denver County, Colorado","2408","4405","08","031","015400"
"Census Tract 83.04, Denver County, Colorado","449","3291","08","031","008304"
"Census Tract 2.01, Denver County, Colorado","1489","4176","08","031","000201"
