"NAME","B19013_001E","state","county","tract"
"Census Tract 69.01, Denver County, Colorado","35078","08","031","006901"
"Census Tract 70.13, Denver County, Colorado","62026","08","031","007013"
"Census Tract 83.05, Denver County, Colorado","52500","08","031","008305"
"Census Tract 28.02, Denver County, Colorado","54656","08","031","002802"
"Census Tract 41.04, Denver County, Colorado","79117","08","031","004104"
"Census Tract 68.04, Denver County, Colorado","84646","08","031","006804"
"Census Tract 7.01, Denver County, Colorado","30610","08","031","000701"
"Census Tract 31.02, Denver County, Colorado","43720","08","031","003102"
"Census Tract 36.02, Denver County, Colorado","45420","08","031","003602"
"Census Tract 67.01, Denver County, Colorado","71196","08","031","006701"
"Census Tract 4.01, Denver County, Colorado","60341","08","031","000401"
"Census Tract 24.03, Denver County, Colorado","43447","08","031","002403"
"Census Tract 119.02, Denver County, Colorado","60716","08","031","011902"
"Census Tract 7.02, Denver County, Colorado","25091","08","031","000702"
"Census Tract 27.02, Denver County, Colorado","56434","08","031","002702"
"Census Tract 39.01, Denver County, Colorado","135074","08","031","003901"
"Census Tract 120.14, Denver County, Colorado","63355","08","031","012014"
"Census Tract 29.01, Denver County, Colorado","79063","08","031","002901"
"Census Tract 30.01, Denver County, Colorado","101227","08","031","003001"
"Census Tract 30.03, Denver County, Colorado","56144","08","031","003003"
"Census Tract 37.03, Denver County, Colorado","62061","08","031","003703"
"Census Tract 44.03, Denver County, Colorado","52963","08","031","004403"
"Census Tract 51.04, Denver County, Colorado","42008","08","031","005104"
"Census Tract 52, Denver County, Colorado","91637","08","031","005200"
"Census Tract 68.12, Denver County, Colorado","59509","08","031","006812"
"Census Tract 83.06, Denver County, Colorado","43182","08","031","008306"
"Census Tract 119.03, Denver County, Colorado","58456","08","031","011903"
"Census Tract 3.01, Denver County, Colorado","69929","08","031","000301"
"Census Tract 10, Denver County, Colorado","37407","08","031","001000"
"Census Tract 14.03, Denver County, Colorado","54981","08","031","001403"
"Census Tract 15, Denver County, Colorado","39808","08","031","001500"
"Census Tract 17.01, Denver County, Colorado","95921","08","031","001701"
"Census Tract 29.02, Denver County, Colorado","115337","08","031","002902"
"Census Tract 41.01, Denver County, Colorado","37380","08","031","004101"
"Census Tract 46.01, Denver County, Colorado","47390","08","031","004601"
"Census Tract 68.10, Denver County, Colorado","63660","08","031","006810"
"Census Tract 68.11, Denver County, Colorado","58826","08","031","006811"
"Census Tract 5.01, Denver County, Colorado","108152","08","031","000501"
"Census Tract 11.02, Denver County, Colorado","78526","08","031","001102"
"Census Tract 16, Denver County, Colorado","74471","08","031","001600"
"Census Tract 23, Denver County, Colorado","74611","08","031","002300"
"Census Tract 32.03, Denver County, Colorado","173750","08","031","003203"
"Census Tract 41.06, Denver County, Colorado","142083","08","031","004106"
"Census Tract 41.07, Denver County, Colorado","112039","08","031","004107"
