"NAME","B25071_001E","state","county","tract"
"Census Tract 41.09 Denver County Colorado","-666666666.0","08","031","004109"
"Census Tract 41.10 Denver County Colorado","24.5","08","031","004110"
"Census Tract 41.11 Denver County Colorado","31.1","08","031","004111"
"Census Tract 41.12 Denver County Colorado","34.1","08","031","004112"
"Census Tract 41.13 Denver County Colorado","20.4","08","031","004113"
"Census Tract 42.01 Denver County Colorado","27.0","08","031","004201"
"Census Tract 42.02 Denver County Colorado","36.7","08","031","004202"
"Census Tract 43.02 Denver County Colorado","21.6","08","031","004302"
"Census Tract 43.03 Denver County Colorado","24.7","08","031","004303"
"Census Tract 43.06 Denver County Colorado","26.2","08","031","004306"
"Census Tract 43.07 Denver County Colorado","30.7","08","031","004307"
"Census Tract 43.08 Denver County Colorado","33.0","08","031","004308"
"Census Tract 43.09 Denver County Colorado","35.3","08","031","004309"
"Census Tract 43.10 Denver County Colorado","34.1","08","031","004310"
"Census Tract 44.03 Denver County Colorado","30.3","08","031","004403"
"Census Tract 44.04 Denver County Colorado","30.8","08","031","004404"
"Census Tract 44.06 Denver County Colorado","51.0","08","031","004406"
"Census Tract 44.07 Denver County Colorado","26.0","08","031","004407"
"Census Tract 45.03 Denver County Colorado","40.3","08","031","004503"
"Census Tract 45.04 Denver County Colorado","34.4","08","031","004504"
"Census Tract 45.05 Denver County Colorado","37.5","08","031","004505"
"Census Tract 45.06 Denver County Colorado","35.2","08","031","004506"
"Census Tract 46.01 Denver County Colorado","25.2","08","031","004601"
"Census Tract 46.02 Denver County Colorado","33.5","08","031","004602"
"Census Tract 46.03 Denver County Colorado","28.0","08","031","004603"
"Census Tract 47 Denver County Colorado","23.6","08","031","004700"
"Census Tract 48.01 Denver County Colorado","25.3","08","031","004801"
"Census Tract 50.01 Denver County Colorado","33.7","08","031","005001"
"Census Tract 50.03 Denver County Colorado","37.7","08","031","005003"
"Census Tract 50.04 Denver County Colorado","31.1","08","031","005004"
"Census Tract 51.02 Denver County Colorado","32.8","08","031","005102"
"Census Tract 51.04 Denver County Colorado","32.4","08","031","005104"
"Census Tract 52 Denver County Colorado","18.5","08","031","005200"
"Census Tract 53 Denver County Colorado","42.0","08","031","005300"
"Census Tract 55.02 Denver County Colorado","30.8","08","031","005502"
"Census Tract 55.03 Denver County Colorado","26.8","08","031","005503"
"Census Tract 67.01 Denver County Colorado","26.4","08","031","006701"
"Census Tract 68.04 Denver County Colorado","23.4","08","031","006804"
"Census Tract 68.10 Denver County Colorado","33.0","08","031","006810"
"Census Tract 68.12 Denver County Colorado","27.5","08","031","006812"
"Census Tract 68.13 Denver County Colorado","36.0","08","031","006813"
"Census Tract 68.14 Denver County Colorado","42.6","08","031","006814"
"Census Tract 68.15 Denver County Colorado","36.3","08","031","006815"
"Census Tract 68.16 Denver County Colorado","39.1","08","031","006816"
"Census Tract 68.17 Denver County Colorado","19.8","08","031","006817"
"Census Tract 68.18 Denver County Colorado","29.6","08","031","006818"
"Census Tract 69.02 Denver County Colorado","34.5","08","031","006902"
"Census Tract 69.03 Denver County Colorado","41.6","08","031","006903"
"Census Tract 70.06 Denver County Colorado","34.0","08","031","007006"
"Census Tract 70.13 Denver County Colorado","34.3","08","031","007013"
"Census Tract 70.37 Denver County Colorado","32.2","08","031","007037"
"Census Tract 70.88 Denver County Colorado","34.8","08","031","007088"
