B03002_003E,B03002_001E,tract,TRACTCE,nbhd_name
687,2491,001901,001901,"Lincoln Park"
230,484,001902,001902,Auraria
7057,10137,004106,004106,Stapleton
2592,3541,004107,004107,Stapleton
964,1450,003101,003101,"City Park West"
3009,3352,003300,003300,"Congress Park"
2647,5074,004103,004103,"North Park Hill"
1852,2480,003703,003703,"Congress Park"
1705,3937,004403,004403,"East Colfax"
3869,4497,001701,001701,"Union Station"
1564,2033,000501,000501,"Sloan Lake"
5179,7537,001600,001600,"Five Points"
2252,4951,002300,002300,Whittier
2741,4135,004301,004301,Hale
1331,4083,004104,004104,"North Park Hill"
1460,3887,000701,000701,"West Colfax"
1903,2861,003102,003102,"City Park West"
1448,3013,002403,002403,"Five Points"
1523,5535,000702,000702,"West Colfax"
4587,5496,002702,002702,"Capitol Hill"
2151,2997,001702,001702,CBD
1696,3478,001800,001800,"Lincoln Park"
4261,4874,002703,002703,"Capitol Hill"
2262,3005,002601,002601,"North Capitol Hill"
938,2332,000600,000600,"Jefferson Park"
126,1404,000800,000800,"Sun Valley"
1965,2683,003701,003701,"City Park"
3551,4654,003702,003702,"Congress Park"
4427,5799,004304,004304,Montclair
1890,2351,002602,002602,"North Capitol Hill"
2891,4354,002701,002701,"Capitol Hill"
3022,5326,000502,000502,"Sloan Lake"
962,1833,002402,002402,"Five Points"
924,3340,003603,003603,Skyland
1031,5034,000904,000904,"Villa Park"
768,3624,000905,000905,"Villa Park"
1158,1622,002000,002000,"Civic Center"
2738,3144,003202,003202,"Cheesman Park"
4434,5210,003201,003201,"Cheesman Park"
3654,4786,004201,004201,"South Park Hill"
2693,3734,004202,004202,"South Park Hill"
4100,4546,004306,004306,"Lowry Field"
2122,6606,004404,004404,"East Colfax"
5627,8065,004405,004405,"Lowry Field"
1956,2502,004302,004302,Hale
