B25064_001E,tract,TRACTCE,nbhd_name
414,001901,001901,"Lincoln Park"
1489,001902,001902,Auraria
1801,004106,004106,Stapleton
1258,004107,004107,Stapleton
853,003101,003101,"City Park West"
1263,003300,003300,"Congress Park"
1046,004103,004103,"North Park Hill"
753,003703,003703,"Congress Park"
912,004403,004403,"East Colfax"
1427,001701,001701,"Union Station"
1064,000501,000501,"Sloan Lake"
1280,001600,001600,"Five Points"
732,002300,002300,Whittier
689,004301,004301,Hale
1179,004104,004104,"North Park Hill"
725,000701,000701,"West Colfax"
578,003102,003102,"City Park West"
574,002403,002403,"Five Points"
779,000702,000702,"West Colfax"
811,002702,002702,"Capitol Hill"
951,001702,001702,CBD
829,001800,001800,"Lincoln Park"
692,002703,002703,"Capitol Hill"
750,002601,002601,"North Capitol Hill"
678,000600,000600,"Jefferson Park"
187,000800,000800,"Sun Valley"
800,003701,003701,"City Park"
760,003702,003702,"Congress Park"
1062,004304,004304,Montclair
1059,002602,002602,"North Capitol Hill"
691,002701,002701,"Capitol Hill"
572,000502,000502,"Sloan Lake"
731,002402,002402,"Five Points"
906,003603,003603,Skyland
729,000904,000904,"Villa Park"
953,000905,000905,"Villa Park"
1271,002000,002000,"Civic Center"
739,003202,003202,"Cheesman Park"
763,003201,003201,"Cheesman Park"
858,004201,004201,"South Park Hill"
1715,004202,004202,"South Park Hill"
1172,004306,004306,"Lowry Field"
798,004404,004404,"East Colfax"
1056,004405,004405,"Lowry Field"
1269,004302,004302,Hale
