"NAME","B19013_001E","state","county","tract"
"Census Tract 1.01, Denver County, Colorado","50439","08","031","000101"
"Census Tract 1.02, Denver County, Colorado","58164","08","031","000102"
"Census Tract 2.01, Denver County, Colorado","37824","08","031","000201"
"Census Tract 2.02, Denver County, Colorado","41306","08","031","000202"
"Census Tract 3.01, Denver County, Colorado","46761","08","031","000301"
"Census Tract 3.02, Denver County, Colorado","59886","08","031","000302"
"Census Tract 3.03, Denver County, Colorado","63266","08","031","000303"
"Census Tract 4.01, Denver County, Colorado","32994","08","031","000401"
"Census Tract 4.02, Denver County, Colorado","39858","08","031","000402"
"Census Tract 5.01, Denver County, Colorado","66481","08","031","000501"
"Census Tract 5.02, Denver County, Colorado","36719","08","031","000502"
"Census Tract 6, Denver County, Colorado","23429","08","031","000600"
"Census Tract 7.01, Denver County, Colorado","35139","08","031","000701"
"Census Tract 7.02, Denver County, Colorado","30738","08","031","000702"
"Census Tract 8, Denver County, Colorado","8352","08","031","000800"
"Census Tract 9.02, Denver County, Colorado","42344","08","031","000902"
"Census Tract 9.03, Denver County, Colorado","38482","08","031","000903"
"Census Tract 9.04, Denver County, Colorado","27075","08","031","000904"
"Census Tract 9.05, Denver County, Colorado","35601","08","031","000905"
"Census Tract 10, Denver County, Colorado","24891","08","031","001000"
"Census Tract 11.01, Denver County, Colorado","29649","08","031","001101"
"Census Tract 11.02, Denver County, Colorado","48438","08","031","001102"
"Census Tract 13.01, Denver County, Colorado","41008","08","031","001301"
"Census Tract 13.02, Denver County, Colorado","44059","08","031","001302"
"Census Tract 14.01, Denver County, Colorado","33605","08","031","001401"
"Census Tract 14.02, Denver County, Colorado","43229","08","031","001402"
"Census Tract 14.03, Denver County, Colorado","38646","08","031","001403"
"Census Tract 15, Denver County, Colorado","23711","08","031","001500"
"Census Tract 16, Denver County, Colorado","53077","08","031","001600"
"Census Tract 17.01, Denver County, Colorado","76121","08","031","001701"
"Census Tract 17.02, Denver County, Colorado","45047","08","031","001702"
"Census Tract 18, Denver County, Colorado","26759","08","031","001800"
"Census Tract 19, Denver County, Colorado","17525","08","031","001900"
"Census Tract 20, Denver County, Colorado","53125","08","031","002000"
"Census Tract 21, Denver County, Colorado","46406","08","031","002100"
"Census Tract 23, Denver County, Colorado","42313","08","031","002300"
"Census Tract 24.02, Denver County, Colorado","38684","08","031","002402"
"Census Tract 24.03, Denver County, Colorado","34630","08","031","002403"
"Census Tract 26.01, Denver County, Colorado","29503","08","031","002601"
"Census Tract 26.02, Denver County, Colorado","45575","08","031","002602"
"Census Tract 27.01, Denver County, Colorado","29608","08","031","002701"
"Census Tract 27.02, Denver County, Colorado","40441","08","031","002702"
"Census Tract 27.03, Denver County, Colorado","27923","08","031","002703"
"Census Tract 28.01, Denver County, Colorado","56424","08","031","002801"
"Census Tract 28.02, Denver County, Colorado","44306","08","031","002802"
"Census Tract 28.03, Denver County, Colorado","42634","08","031","002803"
"Census Tract 29.01, Denver County, Colorado","44750","08","031","002901"
"Census Tract 29.02, Denver County, Colorado","88527","08","031","002902"
"Census Tract 30.01, Denver County, Colorado","66659","08","031","003001"
"Census Tract 30.02, Denver County, Colorado","63281","08","031","003002"
"Census Tract 30.03, Denver County, Colorado","38500","08","031","003003"
"Census Tract 30.04, Denver County, Colorado","48111","08","031","003004"
"Census Tract 31.01, Denver County, Colorado","50469","08","031","003101"
"Census Tract 31.02, Denver County, Colorado","26287","08","031","003102"
"Census Tract 32.01, Denver County, Colorado","43257","08","031","003201"
"Census Tract 32.02, Denver County, Colorado","48026","08","031","003202"
