B03002_003E,B03002_001E,tract,TRACTCE,nbhd_name
1307,1798,000501,000501,"Sloan Lake"
2892,5392,000502,000502,"Sloan Lake"
506,2353,000600,000600,"Jefferson Park"
1988,3946,000701,000701,"West Colfax"
858,6165,000702,000702,"West Colfax"
171,1452,000800,000800,"Sun Valley"
898,5766,000904,000904,"Villa Park"
522,4162,000905,000905,"Villa Park"
2935,5338,001600,001600,"Five Points"
2909,3448,001701,001701,"Union Station"
1698,2169,001702,001702,CBD
1765,3314,001800,001800,"Lincoln Park"
1075,2883,001900,001900,Auraria
1075,2883,001900,001900,"Lincoln Park"
742,1036,002000,002000,"Civic Center"
1591,3965,002300,002300,Whittier
827,1568,002402,002402,"Five Points"
1154,2841,002403,002403,"Five Points"
1665,2505,002601,002601,"North Capitol Hill"
1522,1886,002602,002602,"North Capitol Hill"
2917,4205,002701,002701,"Capitol Hill"
4305,5270,002702,002702,"Capitol Hill"
3988,4618,002703,002703,"Capitol Hill"
837,1371,003101,003101,"City Park West"
1650,2984,003102,003102,"City Park West"
3561,4640,003201,003201,"Cheesman Park"
2546,3296,003202,003202,"Cheesman Park"
2784,3119,003300,003300,"Congress Park"
664,3397,003603,003603,Skyland
1804,2447,003701,003701,"City Park"
3710,4485,003702,003702,"Congress Park"
2193,2903,003703,003703,"Congress Park"
2730,5338,004103,004103,"North Park Hill"
1000,4483,004104,004104,"North Park Hill"
6677,10225,004105,004105,Stapleton
3499,4436,004201,004201,"South Park Hill"
2645,3799,004202,004202,"South Park Hill"
3030,4630,004301,004301,Hale
2210,2513,004302,004302,Hale
3867,5238,004304,004304,Montclair
3753,4144,004306,004306,"Lowry Field"
1601,4333,004403,004403,"East Colfax"
1572,5026,004404,004404,"East Colfax"
4029,5421,004405,004405,"Lowry Field"
