B25071_001E,tract,TRACTCE,nbhd_name
22.6,000501,000501,"Sloan Lake"
27.8,000503,000503,"Sloan Lake"
30.7,000504,000504,"Sloan Lake"
24.9,000600,000600,"Jefferson Park"
29.5,000703,000703,"West Colfax"
21.7,000704,000704,"West Colfax"
40.6,000705,000705,"West Colfax"
27.4,000706,000706,"West Colfax"
15.9,000800,000800,"Sun Valley"
36.0,000904,000904,"Villa Park"
29.4,000905,000905,"Villa Park"
29.9,001601,001601,"Five Points"
23.9,001602,001602,"Five Points"
32.0,001603,001603,"Five Points"
26.0,001703,001703,"Union Station"
34.6,001704,001704,"Union Station"
24.3,001705,001705,"Union Station"
23.4,001706,001706,CBD
25.6,001707,001707,CBD
29.9,001800,001800,"Lincoln Park"
29.7,001901,001901,"Lincoln Park"
28.4,002000,002000,"Civic Center"
20.7,002300,002300,Whittier
23.8,002402,002402,"Five Points"
40.7,002404,002404,"Five Points"
27.9,002405,002405,"Five Points"
24.7,002602,002602,"North Capitol Hill"
25.3,002603,002603,"North Capitol Hill"
34.0,002604,002604,"North Capitol Hill"
30.9,002704,002704,"Capitol Hill"
25.5,002705,002705,"Capitol Hill"
24.8,002706,002706,"Capitol Hill"
22.5,002707,002707,"Capitol Hill"
26.2,002708,002708,"Capitol Hill"
25.9,002709,002709,"Capitol Hill"
24.1,003101,003101,"City Park West"
30.6,003102,003102,"City Park West"
28.3,003202,003202,"Cheesman Park"
23.8,003204,003204,"Cheesman Park"
24.0,003205,003205,"Cheesman Park"
25.3,003300,003300,"Congress Park"
35.0,003603,003603,Skyland
26.0,003701,003701,"City Park"
29.9,003702,003702,"Congress Park"
24.2,003703,003703,"Congress Park"
26.6,004103,004103,"North Park Hill"
27.9,004104,004104,"North Park Hill"
32.2,004108,004108,Stapleton
-666666666.0,004109,004109,Stapleton
24.5,004110,004110,Stapleton
31.1,004111,004111,Stapleton
34.1,004112,004112,Stapleton
20.4,004113,004113,Stapleton
27.0,004201,004201,"South Park Hill"
36.7,004202,004202,"South Park Hill"
21.6,004302,004302,Hale
26.2,004306,004306,"Lowry Field"
30.7,004307,004307,Hale
33.0,004308,004308,Hale
35.3,004309,004309,Montclair
34.1,004310,004310,Montclair
30.3,004403,004403,"East Colfax"
30.8,004404,004404,"East Colfax"
51.0,004406,004406,"Lowry Field"
26.0,004407,004407,"Lowry Field"
-666666666.0,980200,980200,Auraria
