"NAME","B15003_022E","B15002_001E","state","county","tract"
"Census Tract 36.01, Denver County, Colorado","706","3344","08","031","003601"
"Census Tract 37.01, Denver County, Colorado","1203","2915","08","031","003701"
"Census Tract 37.02, Denver County, Colorado","1842","4178","08","031","003702"
"Census Tract 43.04, Denver County, Colorado","1715","4569","08","031","004304"
"Census Tract 50.01, Denver County, Colorado","559","2087","08","031","005001"
"Census Tract 55.03, Denver County, Colorado","858","3466","08","031","005503"
"Census Tract 68.14, Denver County, Colorado","727","3029","08","031","006814"
"Census Tract 70.06, Denver County, Colorado","680","3244","08","031","007006"
"Census Tract 83.04, Denver County, Colorado","174","2099","08","031","008304"
"Census Tract 45.03, Denver County, Colorado","228","2396","08","031","004503"
"Census Tract 45.04, Denver County, Colorado","124","2458","08","031","004504"
"Census Tract 45.05, Denver County, Colorado","163","2555","08","031","004505"
"Census Tract 45.06, Denver County, Colorado","119","2194","08","031","004506"
"Census Tract 83.86, Denver County, Colorado","220","2858","08","031","008386"
"Census Tract 83.87, Denver County, Colorado","162","4033","08","031","008387"
"Census Tract 83.88, Denver County, Colorado","747","5860","08","031","008388"
"Census Tract 83.89, Denver County, Colorado","1345","6697","08","031","008389"
"Census Tract 83.90, Denver County, Colorado","752","5562","08","031","008390"
"Census Tract 83.91, Denver County, Colorado","714","4385","08","031","008391"
"Census Tract 153, Denver County, Colorado","1224","3111","08","031","015300"
"Census Tract 154, Denver County, Colorado","804","2946","08","031","015400"
"Census Tract 155, Denver County, Colorado","653","2668","08","031","015500"
"Census Tract 156, Denver County, Colorado","296","4817","08","031","015600"
"Census Tract 19.01, Denver County, Colorado","169","1757","08","031","001901"
"Census Tract 19.02, Denver County, Colorado","21","92","08","031","001902"
"Census Tract 9.02, Denver County, Colorado","510","3923","08","031","000902"
"Census Tract 2.01, Denver County, Colorado","531","2978","08","031","000201"
"Census Tract 6, Denver County, Colorado","833","2649","08","031","000600"
"Census Tract 8, Denver County, Colorado","8","520","08","031","000800"
"Census Tract 9.03, Denver County, Colorado","337","3722","08","031","000903"
"Census Tract 11.01, Denver County, Colorado","384","1877","08","031","001101"
"Census Tract 13.01, Denver County, Colorado","596","3754","08","031","001301"
"Census Tract 13.02, Denver County, Colorado","199","2736","08","031","001302"
"Census Tract 14.02, Denver County, Colorado","199","2914","08","031","001402"
"Census Tract 17.02, Denver County, Colorado","1404","2994","08","031","001702"
"Census Tract 18, Denver County, Colorado","723","2567","08","031","001800"
"Census Tract 21, Denver County, Colorado","1767","4636","08","031","002100"
"Census Tract 27.03, Denver County, Colorado","1938","4305","08","031","002703"
"Census Tract 28.01, Denver County, Colorado","1055","2415","08","031","002801"
"Census Tract 26.01, Denver County, Colorado","1087","2883","08","031","002601"
"Census Tract 28.03, Denver County, Colorado","2010","4034","08","031","002803"
"Census Tract 55.02, Denver County, Colorado","262","1448","08","031","005502"
"Census Tract 70.88, Denver County, Colorado","1099","3784","08","031","007088"
"Census Tract 70.89, Denver County, Colorado","1092","4713","08","031","007089"
"Census Tract 157, Denver County, Colorado","503","3708","08","031","015700"
"Census Tract 9800, Denver County, Colorado","169","934","08","031","980000"
"Census Tract 9801, Denver County, Colorado","0","0","08","031","980100"
"Census Tract 26.02, Denver County, Colorado","1086","2418","08","031","002602"
"Census Tract 27.01, Denver County, Colorado","1857","4340","08","031","002701"
"Census Tract 120.01, Denver County, Colorado","385","1653","08","031","012001"
"Census Tract 32.01, Denver County, Colorado","2005","4908","08","031","003201"
"Census Tract 38, Denver County, Colorado","1912","6066","08","031","003800"
"Census Tract 40.02, Denver County, Colorado","1093","2538","08","031","004002"
"Census Tract 40.04, Denver County, Colorado","542","1512","08","031","004004"
"Census Tract 42.01, Denver County, Colorado","1084","3508","08","031","004201"
"Census Tract 42.02, Denver County, Colorado","1037","3177","08","031","004202"
"Census Tract 43.06, Denver County, Colorado","1565","3891","08","031","004306"
"Census Tract 44.04, Denver County, Colorado","784","4072","08","031","004404"
"Census Tract 44.05, Denver County, Colorado","2323","6273","08","031","004405"
"Census Tract 46.02, Denver County, Colorado","523","4496","08","031","004602"
"Census Tract 48.01, Denver County, Colorado","442","2311","08","031","004801"
"Census Tract 70.37, Denver County, Colorado","394","2973","08","031","007037"
"Census Tract 83.12, Denver County, Colorado","377","4699","08","031","008312"
"Census Tract 120.10, Denver County, Colorado","1165","4068","08","031","012010"
"Census Tract 35, Denver County, Colorado","501","4023","08","031","003500"
"Census Tract 3.02, Denver County, Colorado","1406","3410","08","031","000302"
"Census Tract 30.04, Denver County, Colorado","1457","3506","08","031","003004"
"Census Tract 31.01, Denver County, Colorado","478","1303","08","031","003101"
"Census Tract 2.02, Denver County, Colorado","528","2969","08","031","000202"
"Census Tract 5.02, Denver County, Colorado","1432","4516","08","031","000502"
"Census Tract 14.01, Denver County, Colorado","305","4206","08","031","001401"
"Census Tract 24.02, Denver County, Colorado","479","1529","08","031","002402"
"Census Tract 36.03, Denver County, Colorado","831","2583","08","031","003603"
"Census Tract 39.02, Denver County, Colorado","1427","3356","08","031","003902"
"Census Tract 40.03, Denver County, Colorado","1239","3629","08","031","004003"
"Census Tract 46.03, Denver County, Colorado","459","3844","08","031","004603"
"Census Tract 1.02, Denver County, Colorado","1141","2747","08","031","000102"
"Census Tract 3.03, Denver County, Colorado","1560","3748","08","031","000303"
"Census Tract 4.02, Denver County, Colorado","1795","4473","08","031","000402"
"Census Tract 9.04, Denver County, Colorado","274","3194","08","031","000904"
"Census Tract 9.05, Denver County, Colorado","590","2843","08","031","000905"
"Census Tract 20, Denver County, Colorado","707","1821","08","031","002000"
"Census Tract 30.02, Denver County, Colorado","972","2159","08","031","003002"
"Census Tract 68.09, Denver County, Colorado","2017","5709","08","031","006809"
"Census Tract 40.05, Denver County, Colorado","798","2179","08","031","004005"
"Census Tract 32.02, Denver County, Colorado","1100","3068","08","031","003202"
"Census Tract 34.01, Denver County, Colorado","890","2302","08","031","003401"
"Census Tract 34.02, Denver County, Colorado","1367","3574","08","031","003402"
"Census Tract 40.06, Denver County, Colorado","1097","3063","08","031","004006"
"Census Tract 41.02, Denver County, Colorado","518","3285","08","031","004102"
"Census Tract 43.02, Denver County, Colorado","710","1964","08","031","004302"
"Census Tract 43.03, Denver County, Colorado","1230","2781","08","031","004303"
"Census Tract 47, Denver County, Colorado","815","4366","08","031","004700"
"Census Tract 51.02, Denver County, Colorado","1039","2871","08","031","005102"
"Census Tract 68.13, Denver County, Colorado","1074","3331","08","031","006813"
"Census Tract 33, Denver County, Colorado","1068","2739","08","031","003300"
"Census Tract 41.03, Denver County, Colorado","1437","3966","08","031","004103"
"Census Tract 43.01, Denver County, Colorado","1389","3945","08","031","004301"
"Census Tract 50.02, Denver County, Colorado","1202","5151","08","031","005002"
"Census Tract 53, Denver County, Colorado","326","1116","08","031","005300"
"Census Tract 69.01, Denver County, Colorado","942","4246","08","031","006901"
"Census Tract 70.13, Denver County, Colorado","980","2991","08","031","007013"
"Census Tract 83.05, Denver County, Colorado","125","2444","08","031","008305"
"Census Tract 28.02, Denver County, Colorado","1614","3612","08","031","002802"
"Census Tract 41.04, Denver County, Colorado","1174","3804","08","031","004104"
"Census Tract 68.04, Denver County, Colorado","887","2420","08","031","006804"
"Census Tract 7.01, Denver County, Colorado","536","3321","08","031","000701"
"Census Tract 31.02, Denver County, Colorado","1053","2900","08","031","003102"
"Census Tract 36.02, Denver County, Colorado","597","2814","08","031","003602"
"Census Tract 67.01, Denver County, Colorado","1233","2615","08","031","006701"
"Census Tract 4.01, Denver County, Colorado","815","2599","08","031","000401"
"Census Tract 24.03, Denver County, Colorado","953","2973","08","031","002403"
"Census Tract 119.02, Denver County, Colorado","946","4639","08","031","011902"
"Census Tract 7.02, Denver County, Colorado","598","3114","08","031","000702"
"Census Tract 27.02, Denver County, Colorado","2451","5219","08","031","002702"
"Census Tract 39.01, Denver County, Colorado","1649","3522","08","031","003901"
"Census Tract 120.14, Denver County, Colorado","1265","4925","08","031","012014"
"Census Tract 29.01, Denver County, Colorado","1224","2785","08","031","002901"
"Census Tract 30.01, Denver County, Colorado","2075","4620","08","031","003001"
"Census Tract 30.03, Denver County, Colorado","686","1632","08","031","003003"
"Census Tract 37.03, Denver County, Colorado","1075","2487","08","031","003703"
"Census Tract 44.03, Denver County, Colorado","794","3260","08","031","004403"
"Census Tract 51.04, Denver County, Colorado","869","2743","08","031","005104"
"Census Tract 52, Denver County, Colorado","920","2584","08","031","005200"
"Census Tract 68.12, Denver County, Colorado","994","3168","08","031","006812"
"Census Tract 83.06, Denver County, Colorado","207","3957","08","031","008306"
"Census Tract 119.03, Denver County, Colorado","337","1849","08","031","011903"
"Census Tract 3.01, Denver County, Colorado","1652","4672","08","031","000301"
"Census Tract 10, Denver County, Colorado","296","2622","08","031","001000"
"Census Tract 14.03, Denver County, Colorado","832","2621","08","031","001403"
"Census Tract 15, Denver County, Colorado","227","2292","08","031","001500"
"Census Tract 17.01, Denver County, Colorado","2116","5389","08","031","001701"
"Census Tract 29.02, Denver County, Colorado","1463","3592","08","031","002902"
"Census Tract 41.01, Denver County, Colorado","590","3027","08","031","004101"
"Census Tract 46.01, Denver County, Colorado","554","3648","08","031","004601"
"Census Tract 68.10, Denver County, Colorado","1165","4116","08","031","006810"
"Census Tract 68.11, Denver County, Colorado","1327","4827","08","031","006811"
"Census Tract 5.01, Denver County, Colorado","537","1644","08","031","000501"
"Census Tract 11.02, Denver County, Colorado","1286","2878","08","031","001102"
"Census Tract 16, Denver County, Colorado","3513","8349","08","031","001600"
"Census Tract 23, Denver County, Colorado","1469","4145","08","031","002300"
"Census Tract 32.03, Denver County, Colorado","943","2308","08","031","003203"
"Census Tract 41.06, Denver County, Colorado","2698","8631","08","031","004106"
"Census Tract 41.07, Denver County, Colorado","2242","6138","08","031","004107"
