B19013_001E,tract,TRACTCE,nbhd_name
22440,001901,001901,"Lincoln Park"
82386,001902,001902,Auraria
130579,004106,004106,Stapleton
91014,004107,004107,Stapleton
64250,003101,003101,"City Park West"
99511,003300,003300,"Congress Park"
83425,004103,004103,"North Park Hill"
47750,003703,003703,"Congress Park"
41199,004403,004403,"East Colfax"
75898,001701,001701,"Union Station"
75341,000501,000501,"Sloan Lake"
61900,001600,001600,"Five Points"
44049,002300,002300,Whittier
42349,004301,004301,Hale
45542,004104,004104,"North Park Hill"
30349,000701,000701,"West Colfax"
26262,003102,003102,"City Park West"
32688,002403,002403,"Five Points"
32176,000702,000702,"West Colfax"
44728,002702,002702,"Capitol Hill"
44704,001702,001702,CBD
31318,001800,001800,"Lincoln Park"
36914,002703,002703,"Capitol Hill"
30424,002601,002601,"North Capitol Hill"
39208,000600,000600,"Jefferson Park"
9874,000800,000800,"Sun Valley"
62982,003701,003701,"City Park"
40584,003702,003702,"Congress Park"
73047,004304,004304,Montclair
49110,002602,002602,"North Capitol Hill"
31125,002701,002701,"Capitol Hill"
46732,000502,000502,"Sloan Lake"
61607,002402,002402,"Five Points"
58587,003603,003603,Skyland
36541,000904,000904,"Villa Park"
34073,000905,000905,"Villa Park"
65306,002000,002000,"Civic Center"
48958,003202,003202,"Cheesman Park"
46438,003201,003201,"Cheesman Park"
89120,004201,004201,"South Park Hill"
112132,004202,004202,"South Park Hill"
81079,004306,004306,"Lowry Field"
31523,004404,004404,"East Colfax"
66801,004405,004405,"Lowry Field"
75776,004302,004302,Hale
